[Tue May 16 20:15:05.895002 2017] [:error] [pid 18920] [client 77.101.78.55:50790] script '/var/www/control.flareservers.co.uk/Testpanel/server_settings.php' not found or unable to stat
[Tue May 16 20:15:27.893553 2017] [:error] [pid 18920] [client 77.101.78.55:50795] PHP Parse error:  syntax error, unexpected '$row_srv' (T_VARIABLE) in /var/www/control.flareservers.co.uk/Testpanel/servers.php on line 49
[Tue May 16 22:08:57.135985 2017] [:error] [pid 23892] [client 77.101.78.55:52789] PHP Fatal error:  Uncaught Error: Cannot use object of type mysqli_result as array in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php:160\nStack trace:\n#0 /var/www/control.flareservers.co.uk/Testpanel/ajax/ajax.php(85): require()\n#1 {main}\n  thrown in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php on line 160, referer: https://control.flareservers.co.uk/Testpanel/index.php
[Tue May 16 22:08:57.143387 2017] [:error] [pid 24512] [client 77.101.78.55:52787] PHP Fatal error:  Uncaught Error: Cannot use object of type mysqli_result as array in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php:160\nStack trace:\n#0 /var/www/control.flareservers.co.uk/Testpanel/ajax/ajax.php(85): require()\n#1 {main}\n  thrown in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php on line 160, referer: https://control.flareservers.co.uk/Testpanel/index.php
[Tue May 16 22:08:57.170638 2017] [:error] [pid 24113] [client 77.101.78.55:52788] PHP Fatal error:  Uncaught Error: Cannot use object of type mysqli_result as array in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php:160\nStack trace:\n#0 /var/www/control.flareservers.co.uk/Testpanel/ajax/ajax.php(85): require()\n#1 {main}\n  thrown in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php on line 160, referer: https://control.flareservers.co.uk/Testpanel/index.php
[Tue May 16 22:08:57.639206 2017] [:error] [pid 24254] [client 77.101.78.55:52790] PHP Fatal error:  Uncaught Error: Cannot use object of type mysqli_result as array in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php:160\nStack trace:\n#0 /var/www/control.flareservers.co.uk/Testpanel/ajax/ajax.php(85): require()\n#1 {main}\n  thrown in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php on line 160, referer: https://control.flareservers.co.uk/Testpanel/index.php
[Tue May 16 22:08:57.643191 2017] [:error] [pid 24337] [client 77.101.78.55:52791] PHP Fatal error:  Uncaught Error: Cannot use object of type mysqli_result as array in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php:160\nStack trace:\n#0 /var/www/control.flareservers.co.uk/Testpanel/ajax/ajax.php(85): require()\n#1 {main}\n  thrown in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php on line 160, referer: https://control.flareservers.co.uk/Testpanel/index.php
[Tue May 16 22:09:40.108367 2017] [:error] [pid 23772] [client 77.101.78.55:52845] PHP Fatal error:  Uncaught Error: Cannot use object of type mysqli_result as array in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php:160\nStack trace:\n#0 /var/www/control.flareservers.co.uk/Testpanel/ajax/ajax.php(85): require()\n#1 {main}\n  thrown in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php on line 160, referer: https://control.flareservers.co.uk/Testpanel/index.php
[Tue May 16 22:11:33.010657 2017] [:error] [pid 24447] [client 77.101.78.55:53052] PHP Fatal error:  Uncaught Error: Cannot use object of type mysqli_result as array in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php:160\nStack trace:\n#0 /var/www/control.flareservers.co.uk/Testpanel/ajax/ajax.php(85): require()\n#1 {main}\n  thrown in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php on line 160, referer: https://control.flareservers.co.uk/Testpanel/index.php
[Tue May 16 22:11:34.667681 2017] [:error] [pid 23776] [client 77.101.78.55:53059] PHP Fatal error:  Uncaught Error: Cannot use object of type mysqli_result as array in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php:160\nStack trace:\n#0 /var/www/control.flareservers.co.uk/Testpanel/ajax/ajax.php(85): require()\n#1 {main}\n  thrown in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php on line 160, referer: https://control.flareservers.co.uk/Testpanel/index.php
[Tue May 16 22:11:38.962160 2017] [:error] [pid 24337] [client 77.101.78.55:53068] PHP Fatal error:  Uncaught Error: Cannot use object of type mysqli_result as array in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php:160\nStack trace:\n#0 /var/www/control.flareservers.co.uk/Testpanel/ajax/ajax.php(85): require()\n#1 {main}\n  thrown in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php on line 160, referer: https://control.flareservers.co.uk/Testpanel/index.php
[Tue May 16 22:11:39.451980 2017] [:error] [pid 24467] [client 77.101.78.55:53069] PHP Fatal error:  Uncaught Error: Cannot use object of type mysqli_result as array in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php:160\nStack trace:\n#0 /var/www/control.flareservers.co.uk/Testpanel/ajax/ajax.php(85): require()\n#1 {main}\n  thrown in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php on line 160, referer: https://control.flareservers.co.uk/Testpanel/index.php
[Tue May 16 22:15:16.851151 2017] [:error] [pid 24829] [client 90.192.94.144:61269] PHP Fatal error:  Uncaught Error: Cannot use object of type mysqli_result as array in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php:160\nStack trace:\n#0 /var/www/control.flareservers.co.uk/Testpanel/ajax/ajax.php(85): require()\n#1 {main}\n  thrown in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php on line 160, referer: https://control.flareservers.co.uk/Testpanel/index.php
[Tue May 16 22:15:28.335274 2017] [:error] [pid 24447] [client 77.101.78.55:53457] PHP Fatal error:  Uncaught Error: Cannot use object of type mysqli_result as array in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php:160\nStack trace:\n#0 /var/www/control.flareservers.co.uk/Testpanel/ajax/ajax.php(85): require()\n#1 {main}\n  thrown in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php on line 160, referer: https://control.flareservers.co.uk/Testpanel/
[Tue May 16 22:15:41.885713 2017] [:error] [pid 24254] [client 90.192.94.144:61272] PHP Fatal error:  Uncaught Error: Cannot use object of type mysqli_result as array in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php:160\nStack trace:\n#0 /var/www/control.flareservers.co.uk/Testpanel/ajax/ajax.php(85): require()\n#1 {main}\n  thrown in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php on line 160, referer: https://control.flareservers.co.uk/Testpanel/index.php
[Tue May 16 22:15:45.357299 2017] [:error] [pid 24777] [client 90.192.94.144:61273] PHP Fatal error:  Uncaught Error: Cannot use object of type mysqli_result as array in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php:160\nStack trace:\n#0 /var/www/control.flareservers.co.uk/Testpanel/ajax/ajax.php(85): require()\n#1 {main}\n  thrown in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php on line 160, referer: https://control.flareservers.co.uk/Testpanel/index.php
[Tue May 16 22:15:46.846359 2017] [:error] [pid 24467] [client 90.192.94.144:61274] PHP Fatal error:  Uncaught Error: Cannot use object of type mysqli_result as array in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php:160\nStack trace:\n#0 /var/www/control.flareservers.co.uk/Testpanel/ajax/ajax.php(85): require()\n#1 {main}\n  thrown in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php on line 160, referer: https://control.flareservers.co.uk/Testpanel/index.php
[Tue May 16 22:15:48.437441 2017] [:error] [pid 23772] [client 90.192.94.144:61275] PHP Fatal error:  Uncaught Error: Cannot use object of type mysqli_result as array in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php:160\nStack trace:\n#0 /var/www/control.flareservers.co.uk/Testpanel/ajax/ajax.php(85): require()\n#1 {main}\n  thrown in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php on line 160, referer: https://control.flareservers.co.uk/Testpanel/index.php
[Tue May 16 22:15:50.290761 2017] [:error] [pid 24777] [client 90.192.94.144:61276] PHP Fatal error:  Uncaught Error: Cannot use object of type mysqli_result as array in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php:160\nStack trace:\n#0 /var/www/control.flareservers.co.uk/Testpanel/ajax/ajax.php(85): require()\n#1 {main}\n  thrown in /var/www/control.flareservers.co.uk/Testpanel/ajax/server_settings.php on line 160, referer: https://control.flareservers.co.uk/Testpanel/index.php
